Unnamed: 0,Date,Country,Local,Industry_Sector,Accident_Level,Potential_Accident_Level,Gender,Employee_type,Critical_Risk,Description,Cleaned_Description,Original_Description_Length,Cleaned_Description_Length
10,2016-01-28,Country_01,Local_03,Mining,I,III,Male,Employee,Others,"While installing a segment of the polyurethane pulley protective lyner - 60x4x5cm weighing 1.2 kg - on the head pulley of the ore winch, when the pulley is rotated to compress the lyner inside the channel, it falls from its housing 1.50 m rubbing the right side of the worker's hip, generating the injury described.",instal segment pull protective liner weigh pull winch pull rotate compress liner inside channel fall housing right worker generating injury describe,55,21
11,2016-01-30,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others,"While preparing the rice for the lunch of the day, when moving the pot # 60 - 35 Kg of weight including the contents - to evacuate the residual water of the cooking of the rice, when positioning the pot on a jaba it tilts backwards spilling some 200 ml of hot water on the cook's leg. The cook immediately after the event applies first aid, pouring cold water on the area of ​​the injury and go to the medical post for evaluation.",prepare rice lunch move weight include content evacuate residual water cooking rice java tile backwards spill water cook cook event apply pour cold water area injury medical post evaluation,83,29
12,2016-02-01,Country_02,Local_05,Metals,I,I,Male,Employee,Liquid Metal,The collaborator reports that he was working in the Ustulación and realized that the cyclone duct was obstructed and opened the door to try to unclog the same and the material detached and projected towards the employee causing small burn in the right heel.,report work ustulacion realize cyclone duct obstruct open door uncle material detach project employee cause small burn right heel,44,19
13,2016-02-02,Country_01,Local_01,Mining,IV,V,Male,Third Party,Electrical installation,"In moments that the operator of the Jumbo 2, tried energize your equipment to proceed to the installation of 4 split set at intersection 544 of Nv 3300, remove the lock and opening the electric board of 440V and 400A, and when lifting the thermomagnetic key This makes phase to ground - phase contact with the panel shell - producing a flash which reaches the operator causing the injury described.",moment operator jumbo energie equipment proceed split remove lock open electric board lift make phase ground phase contact panel produce flash reach operator cause injury describe,70,26
14,2016-02-04,Country_02,Local_05,Metals,I,III,Male,Employee,Confined space,"Due to the accumulation of Waelz on the conveyor and trailer of the Filter 08FI0502, the employee performed the cleaning of the shutter using the air lance, when he was surprised by the fall of the product that was above the door, passing between the neck and the collar of the aramid jacket and causing burn in the neck and shoulder.",well conveyor trailer filter employee perform clean shutter lance surprise fall product door pass neck collar armed jacket cause burn neck shoulder,61,22
15,2016-02-04,Country_02,Local_05,Metals,I,IV,Male,Employee,Liquid Metal,"The employee was working in the When a thermal shock caused a splash of zinc in his direction, the employee, despite using all the indicated PPE, was hit by small spatters that passed between the facila and the hood. small burn in the face region.",employee work thermal shock cause splash zinc direction employee despite indicate hit small shatter pass facial hood small burn face region,45,21
16,2016-02-06,Country_01,Local_04,Mining,III,IV,Male,Third Party,Others,"At Rp 050 of level 1620, in circumstances where the workers of the company were performing the task of diamond drilling, the assistants Jhonatan (injured) and Nilton were preparing to increase the HQ perforation pipe located on the scaffolding, Mr. Jhonatan lifts one end of the tube and supports it on the pulley of the equipment frame, the other end being on the working scaffolding, at the moment that Mr. Nilton lifts the end of the HQ pipe that is in the scaffolding to position in the frame, the upper part of the pipe comes out of the pulley falling and striking the right hand of the worker jhonatan against bolts that has the lateral part of the same frame causing the injury described.",rp level worker company perform task diamond drilling assistant injure hilton prepare increase pipe locate lift tube support pulled equipment frame working moment lift pipe position frame upper pipe come pull fall strike right hand worker bolt lateral frame cause injury describe,124,42
17,2016-02-07,Country_01,Local_06,Metals,I,II,Female,Third Party,Others,"Due to the overheating of 2 bars in row 5 of cell 7 a spark is produced, which is projected and manages to reach the Chief of guard who was in the corridor, producing a first degree burn in the neck.",bar cell spark produce project manage reach chief guard corridor produce degree burn neck,41,14
18,2016-02-08,Country_01,Local_06,Metals,I,II,Male,Employee,Others,"An auxiliary wheel of the cathode crane G2133 was changed in area 75, when when a bearing was heated and hit with a hammer and chisel at one end of the bearing track, a detachment of a bearing piece occurred, impacting it in the thigh of the right leg producing a cut. The ambulance is called and you are transferred to the clinic.",auxiliary wheel cathode crane change area bear heated hammer chief bear track detachment bearing piece occur impact thigh right produce ambulance call clinic,63,23
19,2016-02-21,Country_01,Local_06,Metals,I,III,Male,Employee,Others,"The worker Manuel was making the disconnection of the power cables of the gate that is at the intersection of Manco streets with Cajamarquilla in order to remove it. In circumstances that Mr. José worker of the company ITS, was removing the rope tied in the body of the gate, this yields and falls pulling the warning post which hits the helmet of Mr. who He was standing at his side.",worker manuel make power cable gate marco street order remove worker company remove rope body gate yield fall pull warn post helmet standing,71,23
20,2016-02-25,Country_01,Local_06,Metals,I,II,Male,Third Party,Others,"At 14:16, the operator Samuel was about to open the container for its subsequent loading with silver concentrate, and opened the first gate. Afterwards, he tries to open the second door and it is when product of the opening of the latter, the first one opens and impacts with the handle the safety lens and generates the injury in the left cheekbone of the face of the operator.",operator open container subsequent loading silver open gate open door product opening open impact handle safety lens generate injury leave cheekbone face operator,68,23
21,2016-02-09,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others,"In the Raise chamber, when the operator and assistant removed the drilling bar from the 71R drilling machine - weight approx. 500 Kg - holding it at the top with a 2 TM stroke and assisted with jibs to move horizontally, the operator's jib on the bottom slides by moving the top of the drill bar causing the assistant's bar to enforce his assistant's hand between the bar and the piston of the equipment.",raise chamber operator assistant remove drilling drilling machine weight approx hold stroke assist operator slide move drill cause assistant enforce assistant hand piston equipment,74,24
22,2016-02-10,Country_01,Local_03,Mining,II,IV,Male,Third Party,Others,"While aligning the right bracket of tower N ° 32, when releasing the tension applied by the tirford of 1.5 Tn, when pushing the lever towards the tension release point, it returns by mechanical effect overcoming the resistance of the lineman operator and reshaping the the hands of the assistant beating the assistant in the frontal region.",align right bracket tower release tension apply tirford push lever tension release point return mechanical effect overcome resistance lineman operator escape hand assistant beat assistant frontal region,57,27
23,2016-02-15,Country_02,Local_02,Mining,II,II,Male,Third Party (Remote),Others,"By loosening the A30-29 truck's steering cylinder bolt using power cable and socket, with the force exerted in favor of the equipment, the bolt suddenly retired and the employee hit his hand against the structure of the equipment, causing injury.",worsen truck steer cylinder bolt power cable socket force exert favor equipment bolt suddenly retire employee hand structure equipment cause injury,40,21
24,2016-02-14,Country_01,Local_06,Metals,I,II,Male,Third Party,Others,"An operator of the G-2142 deslaminadora in section 75 was unlocking a sheet of zinc stuck so that it can enter the slide of the stacking table, for this requires the support of Mr. Mollares and this helps to hold the sheet to place it in the entry chute to the slide. At the moment of releasing the blade, it tilted and brushed Mr. Mollares's left leg. The collaborator went to the nearby eyewash for cleaning and immediately to the medical center.",operator section unlock sheet zinc stuck enter slide stack table require support dollar help hold sheet place entry chute slide moment release blade tilt brush dollar leave nearby eyewash clean medical center,82,32
25,2016-02-15,Country_01,Local_06,Metals,I,II,Male,Employee,Manual Tools,"The operator was willing to manually displace the zinc sheet adhered to the aluminum cathode. At the moment when the blade was detached, the blade was released from the cathode, bending and grazing the collaborator's right hand, producing 2 small cuts at the knuckles of the fingers, the worker made use of his gloves. leather. The worker is transferred to the medical unit for first aid.",operator willing manually displace zinc sheet adhere aluminum cathode moment blade detach blade release cathode bend graze right hand produce small knuckle finger worker glove leather worker medical unit aid,66,30
26,2016-02-13,Country_01,Local_01,Mining,I,I,Male,Employee,Others,"At the end of lunch in an enabled place on the side of the winche control room. He gets up and after a short walk he slips and sits with the floor and making contact with the left knee and not taking importance in the rest of the guard, when the guard is finished, he goes to safety and communicates the fact, for which reason it is derived Natclar, for your attention.",end lunch enable place winch control room short walk slip floor make contact leave knee take importance rest guard guard finish safety fact reason derive natvar attention,72,27
27,2016-02-15,Country_01,Local_03,Mining,I,III,Male,Third Party,Others,"At the end of the rock break at the intersection of the ramp -1055 and the opening of the access to the ventilation chimney, the master loader identifies rocks on the mesh proceeding to unload them, at the end he decides to verify if there are still remains by positioning himself under the line of fire, at which time a fragment of rock falls - 5x4x3cm .; 180 gr - between the cocada mesh impacting between the lens and the helmet causing the injury.",end rock break ramp opening access chimney master loader identify rock mesh proceed unload decide verify remain line fire time fragment rock fall mesh impact lens helmet cause injury,84,29
28,2016-02-16,Country_01,Local_01,Mining,I,IV,Male,Employee,Others,"The worker carried out his work at level 2940, stop 896; and placed metal mesh on the basket (SOIL HALF) of the Scissor the mesh falls and hits the back of his right hand.",worker carry work level stop place metal mesh basket soil scissor mesh fall right hand,34,15
29,2016-02-16,Country_02,Local_07,Mining,II,III,Male,Employee,Others,When using the griff wrench to unscrew the rod from the probe the key came to move by pressing the employee's finger against the probe.,grief wrench screw probe come press employee finger probe,25,9
30,2016-02-17,Country_01,Local_03,Mining,I,II,Male,Employee,Others,"When the plant operator was semi-kneeling when lifting the lid or gate (15 kg) of the distributor box of the secondary mill No. 4 and No. 5, his right knee slips due to the presence of debris spilled on the platform or floor (Grating) - which gave him an extra effort in his left leg, generating a muscle contracture.",plant operator semi kneeling lift gate secondary mill right knee slip presence debris spill platform floor grating give extra effort leave generate muscle,59,23
31,2016-02-19,Country_01,Local_03,Mining,I,II,Male,Employee,Others,"At level -1095 - Access 6 A2 - at times when the engineer trainee planamieto entered to verify the amount of split set placed by the Scissor 184 in the support - holding his notebook and pen in his left hand - while inspecting the roof of the work, he lost the balance when stepping on a rock holding the right hand on a rock on the floor causing the injury. The worker at the time of the accident wore gloves but did not use them because it made it difficult to take notes.",level access times engineer trainee planamieto enter verify split place scissor support hold notebook leave hand inspect roof work lose balance step rock hold right hand rock floor cause injury worker time accident wear glove difficult note,94,37
32,2016-02-21,Country_01,Local_01,Mining,III,IV,Male,Third Party,Others,"The worker Yaranga while working with barretilla in Stop 996, Level 3300. While unloading metal mesh, on the basket of an ampoloader with his operator Juan barretilla is embedded on safety boot, reacting immediately the worker removing the limb with force and managing to release the foot, but producing a wound on the right foot.",worker barangay working barretilla stop level unloading metal mesh basket ampoloader operator embed safety boot react worker remove limb force manage release foot produce wound right foot,55,27
33,2016-02-20,Country_01,Local_04,Mining,V,V,Male,Third Party,Others,"Approximately 1:40 p.m. in circumstances that shotcrete was launched in the Nv. 1680 BP 255 of the OB2B, after finishing the launch of the first mixkret 113, the assistant of the alpha, Mr. Albertico asks the operator of the mixkret 113, Mr. Jhony to move the mixkret 116, so that access, finding in the cockpit of the mixkret the operator of the Launcher team, Mr. Danon asks him to come down. When the team started, he noticed that Mr. Danon (injured) was imprisoned between the team (height of the left rear rim) and the Hastial de la Labor.",launch bp finish launch minaret assistant alpha alberto operator minaret phony minaret access find cockpit minaret operator launcher team canon come team start notice canon injure imprison team height leave rear rim,98,32
34,2016-02-15,Country_02,Local_05,Metals,I,II,Male,Employee,Others,The employee was clearing the pipe when he tapped his right thumb against the flange causing little trauma.,employee clearing pipe right thumb lange cause little trauma,18,9
35,2016-02-18,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Pressed,"When replacing the telescopic expansion joint of the HDPE pipe of the storm drainage pumping system, it reports that the piece involuntarily moved when it was positioned in the holder, pressing its finger against the holder, causing a wound 1 right chemo.",replace telescopic expansion joint hope pipe storm drainage pumping system report piece move positioned holder press finger holder cause wound right chem,42,22
36,2016-02-22,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others,"During the withdrawal the Kelly bar (conductive bar of 45 Kg, 1.5 m of length and 10 cm of diameter) of the equipment of perforation on the part of two workers, one of them is positioned in the low part to tie the bar and the injured one is position in the upper part to hold the bar, when positioning the bar on the platform they lose control of the bar moving 5 cm with the 2nd finger of the right hand against the pulleys of the frame. At the time of the accident, the worker was wearing safety gloves and the drill rig was blocked.",withdrawal kelly conductive length diameter equipment worker position tie injure position upper hold bar platform lose control move nd finger right hand pull frame time accident worker wear safety glove drill block,106,32
37,2016-02-24,Country_02,Local_07,Mining,I,V,Male,Employee,Others,When starting the activity of removing a coil of electric cables in the warehouse with the help of forklift truck the operator did not notice that there was a beehive in it. Due to the movement of the coil the bees were excited. Realizing the fact the operator turned off the equipment and left the area. People passing by were stung.,start activity remove coil electric cable warehouse help forklift truck operator notice beehive movement coil excite realize fact operator turn equipment leave area people pass stung,61,26
38,2016-02-24,Country_02,Local_07,Mining,I,V,Female,Third Party,Others,When starting the activity of removing a coil of electric cables in the warehouse with the help of forklift truck the operator did not notice that there was a beehive in it. Due to the movement of the coil the bees were excited. Realizing the fact the operator turned off the equipment and left the area. People passing by were stung.,start activity remove coil electric cable warehouse help forklift truck operator notice beehive movement coil excite realize fact operator turn equipment leave area people pass stung,61,26
39,2016-02-24,Country_01,Local_01,Mining,I,IV,Male,Employee,Others,"During the pre-use inspection of the Jumbo 15 (check list) equipment, the operator of the equipment finds behind the seat a plastic bottle filled with a liquid apparently mineral water, without any label or labeling. Take the bottle and take a small sip of the liquid, expelling it immediately when noticing that it was not water, immediately proceeds to wash with enough water and is transferred to the medical center for your attention. The liquid with which it had contact is an esengrasante product of equipment and machinery of low toxicity.",pre inspection jumbo check list equipment operator equipment find seat plastic bottle fill liquid apparently mineral water label labeling bottle small liquid expel noticing water proceed wash water medical center attention liquid contact product equipment machinery toxicity,91,37
40,2016-02-29,Country_02,Local_02,Mining,II,IV,Male,Employee,Others,"During maintenance of the Flyght pump rotor, the oil pressure of the the lubrication chamber caused the chamber cover to be projected towards the employee's face, striking him superficially on the forehead, causing injury.",flight pump rotor pressure chamber cause chamber cover project employee face strike forehead cause injury,34,15
41,2016-02-26,Country_01,Local_06,Metals,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances,"Approx. at 11:22 am there is a leakage of sulfur dioxide (SO2) from section 20/30 due to water seal blowing due to overpressure of the acid plant, at that moment there were 13 collaborators of CORMEI companies, EISSA and COSAPI doing work near the impacted area; who were evacuated to the medical center for their care, then returned to their usual work.",approx leakage sulfur dioxide section water seal blow acid plant moment former company issn cosa work near impact area evacuate medical center care return usual work,62,26
54,2016-02-27,Country_01,Local_01,Mining,I,III,Male,Third Party,Others,"While performing the cutting of the meshes protruding in the gables of the work, the assistant loader is positioned at 1.40mt. on the floor using a portable ladder which was held at the base by the master loader, at which time the loader assistant loses balance and when falling is held by the mesh with the hand hanging at 0.80mt. of the floor causing the injury.",perform mess protrude gable work assistant loader position floor portable ladder hold base master loader time loader assistant lose balance fall hold mesh hand hanging,66,25
55,2016-03-02,Country_02,Local_08,Metals,I,III,Male,Employee,Pressed,"The operator was in the center (Demag IV), performing maintenance. When transporting the hydraulic cylinder with the help of another operator the official was unbalanced coming the cylinder that carried to press his finger (Left thumb) against the pillar of support of the oven specified below (figure).",operator center dead perform hydraulic cylinder help operator official unbalanced come cylinder carry press finger leave thumb pillar support oven specify figure,47,22
56,2016-03-02,Country_01,Local_06,Metals,I,III,Male,Employee,Blocking and isolation of energies,"During the start of the neutral leaching process, the employee Jhonatan proceeds to open the air valve of the tank Airlift a circumstance in which the process solution returns through the chimney, the solution coming into contact with the arm and right foot.",start neutral teaching process employee proceed open valve tank airlift process solution return chimney solution come contact right foot,43,19
57,2016-03-03,Country_01,Local_03,Mining,I,III,Male,Third Party,Others,"At a time when two assistants were carrying a bag of cement weighing 42.5 kg to the lamp of the loader - suspended about 10 cm from the floor, the left foot of one of the assistants slid and hit the edge of the baton.",time assistant carry cement weighing suspend left foot assistant slide edge baton,45,12
58,2016-03-04,Country_01,Local_06,Metals,I,III,Male,Employee,Manual Tools,"The operator cleaned with spatula spear through one of the windows of the boiler, at that time by force action hit the window frame, causing injury to the little finger of the left hand, the operator had all EPP for boiler cleaning.",operator clean spatial spear window boiler time force action window frame cause injury little finger leave hand operator boiler cleaning,42,20
59,2016-03-05,Country_01,Local_03,Mining,I,IV,Male,Employee,Others,"The locomotive No. 15 operated by MAPERU personnel, was directed with 10 wagons loaded with ore from the OP4 to the waste bin. Next to the waste bin, the patrol car (which goes on the back of the wagons) the moment it passed over a change of track, the left rear wheel of the patrol car leaves the rail advancing the locomotive leaving the patrol car tilted more ahead. The assistant motorist who traveled alone in the patrol car remained inside the structure and suffered minor bruises.",locomotive operate paper personnel direct wagon load waste wagon moment pass change track leave rear wheel patrol leave rail advance locomotive leave patrol tilt ahead assistant motorist travel patrol remain inside structure suffer minor bruise,87,35
60,2016-03-06,Country_01,Local_04,Mining,I,III,Male,Employee,Others,"On pit 831 of level 1910 when radial drilling was performed of negative holes with the simba M4C ITH No. 5 equipment, when the assistant of the equipment operator made the change of the drill bit, the metal bar (hammer) is released from the coupling of the rotation unit and when abruptly withdrawing his hands hit the back of his right hand against the team's structure. At the time of the accident the team was Paid.",pit level radial drilling perform negative hole simbad equipment assistant equipment operator change drill metal hammer release coupling rotation unit abruptly hand right hand team structure time accident team pay,76,30
61,2016-03-06,Country_01,Local_03,Mining,III,IV,Male,Third Party (Remote),Others,"At a time when a worker and another partner were preparing to move an oil cylinder (55 gallons) on a mobile platform mounted on rails (platform weighing approximately 200 kg) it is derailed (leaves the rail). In order to place the platform on the rail, both workers lift the platform and in those instants the right hand of one of them is trapped between the rail and the platform structure where it was held (metallic tube protruding from the platform). This accident caused a bruised wound on the index finger of the right hand, there was no fracture. At the time of the accident they both wore leather-type safety gloves.",time worker partner prepare cylinder gallon mobile platform mount rail platform weigh derail leave rail order place platform rail worker lift platform instant right hand trap rail platform structure hold metallic tube protrude platform accident cause bruise wound index finger right hand fracture time accident wear leather type safety glove,110,50
62,2016-03-09,Country_01,Local_06,Metals,I,IV,Male,Third Party,Suspended Loads,"The operator was feeding a bag of big bag containing scraps of Zn sheets. During lifting, this loaded bag is released from the hook of the hoist, making abrupt contact with the liquid zinc of the furnace, generating an explosion and causing the operator to be hit with liquid zinc.",operator feed big contain scrap sheet lift loaded release hook hoist make abrupt contact liquid zinc furnace generate explosion cause operator liquid zinc,50,23
63,2016-03-11,Country_01,Local_03,Mining,III,V,Male,Third Party,Others,"In circumstances that two workers of the company INCIMMET made the loading of explosives using an equipment anfoloader, in a front of the work - sustained with shotcreterepentinamente of the right superior part of the crown, a piece of rock of approx. 9. kg, (0.2mx0.15mx0.10m), impacting on the basket and on the back of the helper who was in the basket suspended at 2.2 m height, moments later a block of rock is detached from the wall of the gable approx. 1,500 kg. (1.20mx1.10mx0.40m), which impacts the ampoloader team and part of this block injures the operator of the ampoloader team who was standing on the ground. The equipment anfoloader has a cabin with protection ROPs and FOPs, at the time of the accident both workers used helmets and safety boots. Both suffered polyontusions and minor scoria injuries.",worker company incimmet loading explosive equipment anfoloader work sustain right superior crown piece rock approx mx impact basket helper basket suspend height moment later block rock detach wall gable approx mx impacts ampoloader team block injure operator ampoloader team stand ground equipment anfoloader cabin protection top time accident worker helmet safety boot suffer minor storia injury,138,56
64,2016-03-11,Country_01,Local_03,Mining,I,V,Male,Third Party,Others,"In circumstances that two workers of the company INCIMMET fectuaban the loading of explosives using an equipment anfoloader, in a front of the work - sustained with shotcreterepentinamente of the right superior part of the crown, a piece of rock of approx. 9. kg, (0.2mx0.15mx0.10m), impacting on the basket and on the back of the helper who was in the basket suspended at 2.2 m height, moments later a block of rock is detached from the wall of the gable approx. 1,500 kg. (1.20mx1.10mx0.40m), which impacts the ampoloader team and part of this block injures the operator of the ampoloader team who was standing on the ground. The equipment anfoloader has a cabin with protection ROPs and FOPs, at the time of the accident both workers used helmets and safety boots. Both suffered polyontusions and minor scoria injuries.",worker company incimmet fectuaban loading explosive equipment anfoloader work sustain right superior crown piece rock approx mx impact basket helper basket suspend height moment later block rock detach wall gable approx mx impacts ampoloader team block injure operator ampoloader team stand ground equipment anfoloader cabin protection top time accident worker helmet safety boot suffer minor storia injury,138,57
65,2016-03-13,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Others,"The mechanic assistant after throwing the wooden blocks of support of the stabilizer of the Hiab crane truck to the ground, when descending from the truck by the access ladder when arriving at the last step jumps towards the ground - height of 69cm - treading the edge of one of The wooden blocks cause an injury to the left ankle.",mechanic assistant throw wooden block support stabilizer crane truck ground descend truck access ladder arrive step jump ground height read edge wooden block injury leave ankle,61,26
66,2016-03-12,Country_02,Local_07,Mining,III,IV,Male,Employee,Others,"By manually moving a steel cabinet for disposal with the help of another employee, the operator had his finger pressed down between the wall and the cabinet causing injury.",manually move steel cabinet disposal help employee operator finger press wall cabinet cause injury,29,14
67,2016-03-14,Country_01,Local_06,Metals,II,III,Male,Third Party (Remote),Chemical substances,"During the discharge of waste, the operator proceeds to remove a bag that was under the hose rolled, in this circumstance one of the ends of the hose moves in the direction of the face of the driver, projecting the liquid contained in it and impacting it on the ear and part of the face.",discharge waste operator proceed remove roll hose move direction face driver project liquid contain impacting face,55,16
68,2016-03-13,Country_01,Local_03,Mining,I,III,Male,Employee,Others,"In circumstances that the Operator 176 was going from level 620 to level 640, he noticed that the hydraulic pump's inspection cover (18 ""x32"" x3 / 8 "", 15 Kg approx.) Was about to fall, so he stopped the equipment, activates the cats and climbs up the upper part of the equipment and in moments that accommodated the cover it slides on its middle finger causing the injury.",operator level level notice hydraulic pump inspection cover x approx fall stop equipment activate climb upper equipment moment cover slide middle finger cause injury,68,24
69,2016-03-16,Country_01,Local_04,Mining,I,II,Male,Third Party,Others,"When installing the ripper pin of the tractor D6T-N1, the ripper support arm slides by pressing the second and third fingers of the right hand against the base of the ripper causing the injury described.",instal rapper tractor rapper support slide press finger right hand base rapper cause injury describe,35,15
70,2016-03-10,Country_02,Local_05,Metals,I,II,Male,Employee,Pressed,"The employee reports that when he lowered the cloths in the purification, he arranged the cart so that it would not grab the pipe, pressing his left hand between the cloths and the cart.",employee report lower clothe arrange cart grab pipe press left hand clothe cart,34,13
71,2016-03-17,Country_01,Local_01,Mining,I,II,Male,Third Party,Others,"At the end of the loading of explosives on the work front, the master loader enters to verify the mooring of the blasting accessories, when retiring from the top (1.5 m), he hears the sound of fragments of rock rolling through the support mesh, directs its gaze towards the crown in a vertical form, at which point a small fragment of rock (2x3x2cm; 36gr) passes through the openings of the mesh. sustaining impact on the forehead. At the time of the event the collaborator used his helmet and safety lens and the front was with support to the top and sacrifice mesh. The opening of the support mesh is 3 ""x 3"".",end loading explosive work master loader enter verify mooring blasting retire hear sound fragment rock rolling support mesh direct gaze crown vertical form point small fragment rock pass opening mesh sustain impact forehead time event helmet safety lens support sacrifice mesh opening support mesh x,112,45
72,2016-03-16,Country_02,Local_08,Metals,II,II,Male,Employee,Manual Tools,"The employee, when performing the adjustment / tightening operation of the cutter blade with which he worked, was neglected, the key to slip, causing the blade of the equipment to hit him, causing a blunt cut on his right forearm.",employee perform adjustment tighten operation cutter blade work neglect slip cause blade equipment cause blunt right forearm,40,17
73,2016-03-18,Country_01,Local_04,Mining,IV,IV,Male,Third Party,Others,"Approximately at 11:50 a.m. in circumstances that the Messrs. of the truck crane) and William de la Cruz culminated the shipment of 03 blocks of metal plates with an approximate weight of 1800 Kg. Mr. William de the Cross (rigger) climbs onto the truck to remove the sling, places both feet under the stretcher that supported the metal plates. At that moment the central part of the stretcher is broken, as a result of which the two feet are imprisoned producing the injury.",mess truck crane block metal plate weight mr climb truck remove sling place foot stretcher support metal plate moment central stretcher break result foot imprison produce injury,83,27
